Genome_name,Genome_id,Genome_length
Vibrio alginolyticus.fna,NC_022359.1,1812170
Vibrio anguillarum.fna,NC_015637.1,988135
Vibrio breoganii.fna,NZ_CP016178.1,1343833
Vibrio campbellii.fna,NC_009784.1,2204018
Vibrio cholerae.fna,NC_002506.1,1072315
Vibrio coralliilyticus.fna,NZ_CP009265.1,1888898
Vibrio fluvialis.fna,NZ_CP014034.2,1671895
Vibrio gazogenes.fna,NZ_CP018836.1,1303572
Vibrio nigripulchritudo.fna,NC_022543.1,2212415
Vibrio parahaemolyticus.fna,NC_004605.1,1877212
Vibrio scophthalmi.fna,NZ_CP016308.1,1463510
Vibrio splendidus.fna,NC_011744.2,1675515
Vibrio tritonius.fna,NZ_AP014636.1,1787202
Vibrio tubiashii.fna,NZ_CP009355.1,1766582
Vibrio vulnificus.fna,NZ_CP014637.1,1700225
